codMunicipio,municipio,regiao
231210,SANTANA DO CARIRI,CARIRI
231220,SANTA QUITERIA,SOBRAL
231230,SAO BENEDITO,SOBRAL
231240,SAO GONCALO DO AMARANTE,FORTALEZA
231250,SAO JOAO DO JAGUARIBE,LITORAL LESTE/JAGUARIBE
231260,SAO LUIS DO CURU,FORTALEZA
231270,SENADOR POMPEU,SERTÃO CENTRAL
231280,SENADOR SA,SOBRAL
231290,SOBRAL,SOBRAL
231300,SOLONOPOLE,SERTÃO CENTRAL
231310,TABULEIRO DO NORTE,LITORAL LESTE/JAGUARIBE
231320,TAMBORIL,SOBRAL
231325,TARRAFAS,CARIRI
231330,TAUA,SERTÃO CENTRAL
231335,TEJUCUOCA,FORTALEZA
231340,TIANGUA,SOBRAL
231350,TRAIRI,FORTALEZA
231355,TURURU,FORTALEZA
231360,UBAJARA,SOBRAL
231370,UMARI,CARIRI
231375,UMIRIM,FORTALEZA
231380,URUBURETAMA,FORTALEZA
231390,URUOCA,SOBRAL
231395,VARJOTA,SOBRAL
231400,VARZEA ALEGRE,CARIRI
231410,VICOSA DO CEARA,SOBRAL
